"filename", "language", "JSON", "Dart", "CMake", "YAML", "HTML", "Markdown", "C++", "Swift", "XML", "Properties", "Gradle", "Kotlin", "comment", "blank", "total"
"d:\Code\planner\README.md", "Markdown", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 7, 17
"d:\Code\planner\analysis_options.yaml", "YAML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 23, 4, 30
"d:\Code\planner\android\app\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 0, 5, 13, 72
"d:\Code\planner\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 4, 1, 9
"d:\Code\planner\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 6, 1, 35
"d:\Code\planner\android\app\src\main\kotlin\com\example\planner\MainActivity.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 3, 7
"d:\Code\planner\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 7, 2, 13
"d:\Code\planner\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 7, 2, 13
"d:\Code\planner\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 9, 1, 19
"d:\Code\planner\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 9, 1, 19
"d:\Code\planner\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 4, 1, 9
"d:\Code\planner\android\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 5, 32
"d:\Code\planner\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"d:\Code\planner\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"d:\Code\planner\android\settings.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 4, 12
"d:\Code\planner\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 2, 14
"d:\Code\planner\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 123
"d:\Code\planner\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"d:\Code\planner\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 2, 5
"d:\Code\planner\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 1, 1, 38
"d:\Code\planner\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 1, 1, 27
"d:\Code\planner\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Code\planner\lib\add_tasks.dart", "Dart", 0, -18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -18
"d:\Code\planner\lib\home_page.dart", "Dart", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 17
"d:\Code\planner\lib\main.dart", "Dart", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"d:\Code\planner\lib\misc\generate_plan.dart", "Dart", 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 16, 120
"d:\Code\planner\lib\misc\get_data.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"d:\Code\planner\lib\misc\notifications.dart", "Dart", 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 75
"d:\Code\planner\lib\misc\schedule_view.dart", "Dart", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"d:\Code\planner\lib\schedule.dart", "Dart", 0, 217, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 14, 244
"d:\Code\planner\lib\tasks.dart", "Dart", 0, -8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -8
"d:\Code\planner\linux\CMakeLists.txt", "CMake", 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 26, 139
"d:\Code\planner\linux\flutter\CMakeLists.txt", "CMake", 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 10, 89
"d:\Code\planner\linux\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 4, 5, 12
"d:\Code\planner\linux\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 5, 6, 16
"d:\Code\planner\linux\flutter\generated_plugins.cmake", "CMake", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 24
"d:\Code\planner\linux\main.cc", "C++", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 2, 7
"d:\Code\planner\linux\my_application.cc", "C++", 0, 0, 0, 0, 0, 0, 74, 0, 0, 0, 0, 0, 11, 20, 105
"d:\Code\planner\linux\my_application.h", "C++", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 7, 5, 19
"d:\Code\planner\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 3, 4, 17
"d:\Code\planner\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"d:\Code\planner\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 69
"d:\Code\planner\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 343, 0, 0, 0, 0, 1, 344
"d:\Code\planner\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 4, 16
"d:\Code\planner\pubspec.yaml", "YAML", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 60, 15, 98
"d:\Code\planner\test\generate_plan_test.dart", "Dart", 0, 108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 120
"d:\Code\planner\test\get_data_test.dart", "Dart", 0, 438, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 464
"d:\Code\planner\web\index.html", "HTML", 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 16, 6, 59
"d:\Code\planner\web\manifest.json", "JSON", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"d:\Code\planner\windows\CMakeLists.txt", "CMake", 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 18, 102
"d:\Code\planner\windows\flutter\CMakeLists.txt", "CMake", 0, 0, 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 11, 105
"d:\Code\planner\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 4, 5, 12
"d:\Code\planner\windows\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 5, 6, 16
"d:\Code\planner\windows\flutter\generated_plugins.cmake", "CMake", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 24
"d:\Code\planner\windows\runner\CMakeLists.txt", "CMake", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 7, 40
"d:\Code\planner\windows\runner\flutter_window.cpp", "C++", 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 4, 13, 62
"d:\Code\planner\windows\runner\flutter_window.h", "C++", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 5, 9, 34
"d:\Code\planner\windows\runner\main.cpp", "C++", 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 4, 10, 44
"d:\Code\planner\windows\runner\resource.h", "C++", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 6, 2, 17
"d:\Code\planner\windows\runner\utils.cpp", "C++", 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 2, 10, 65
"d:\Code\planner\windows\runner\utils.h", "C++", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 6, 6, 20
"d:\Code\planner\windows\runner\win32_window.cpp", "C++", 0, 0, 0, 0, 0, 0, 183, 0, 0, 0, 0, 0, 15, 48, 246
"d:\Code\planner\windows\runner\win32_window.h", "C++", 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 29, 22, 99
"Total", "-", 248, 927, 332, 26, 37, 13, 499, 42, 466, 8, 89, 4, 388, 416, 3495
