"filename", "language", "Dart", "comment", "blank", "total"
"d:\Code\planner\lib\add_tasks.dart", "Dart", 585, 27, 46, 658
"d:\Code\planner\lib\home_page.dart", "Dart", 345, 9, 23, 377
"d:\Code\planner\lib\main.dart", "Dart", 157, 8, 10, 175
"d:\Code\planner\lib\misc\button.dart", "Dart", 58, 0, 4, 62
"d:\Code\planner\lib\misc\calendar.dart", "Dart", 267, 27, 47, 341
"d:\Code\planner\lib\misc\colors.dart", "Dart", 8, 0, 2, 10
"d:\Code\planner\lib\misc\duration_format.dart", "Dart", 70, 6, 5, 81
"d:\Code\planner\lib\misc\fonts.dart", "Dart", 33, 0, 6, 39
"d:\Code\planner\lib\misc\generate_plan.dart", "Dart", 297, 22, 46, 365
"d:\Code\planner\lib\misc\get_data.dart", "Dart", 289, 19, 41, 349
"d:\Code\planner\lib\misc\multislider.dart", "Dart", 608, 38, 125, 771
"d:\Code\planner\lib\misc\notifications.dart", "Dart", 68, 0, 7, 75
"d:\Code\planner\lib\misc\schedule_view.dart", "Dart", 101, 6, 5, 112
"d:\Code\planner\lib\schedule.dart", "Dart", 421, 22, 37, 480
"d:\Code\planner\lib\settings.dart", "Dart", 249, 2, 7, 258
"d:\Code\planner\lib\tasks.dart", "Dart", 329, 19, 23, 371
"Total", "-", 3885, 205, 434, 4524
